PersonID,FullName,PreferredName,IsPermittedToLogon,LogonName,IsExternalLogonProvider,IsSystemUser,IsEmployee,IsSalesperson,UserPreferences,PhoneNumber,FaxNumber,EmailAddress
24,Paulus Lippmaa,Paulus,0,NO LOGON,0,0,0,0,"{""theme"":""dark-hive"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(360) 555-0100,(360) 555-0101,paulusl@contoso.com
25,Kerstin Parn,Kerstin,0,NO LOGON,0,0,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0100,(415) 555-0101,kerstin@consolidatedmessenger.com
26,Helen Ahven,Helen,0,NO LOGON,0,0,0,0,"{""theme"":""le-frog"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0100,(415) 555-0101,helen@consolidatedmessenger.com
27,Bill Lawson,Bill,0,NO LOGON,0,1,0,0,"{""theme"":""black-tie"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(203) 555-0107,(203) 555-0107,billl@fabrikam.com
28,Helen Moore,Helen,0,NO LOGON,0,1,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(203) 555-0104,(203) 555-0107,helenm@fabrikam.com
29,Penny Buck,Penny,0,NO LOGON,0,1,0,0,"{""theme"":""blitzer"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(406) 555-0107,(406) 555-0109,pennyb@graphicdesigninstitute.com
30,Donna Smith,Donna,0,NO LOGON,0,1,0,0,"{""theme"":""humanity"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(406) 555-0101,(406) 555-0109,donnas@graphicdesigninstitute.com
31,Madelaine  Cartier,Madelaine,0,NO LOGON,0,1,0,0,"{""theme"":""dark-hive"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(423) 555-0101,(423) 555-0100,madelainec@humongousinsurance.com
32,Annette Talon,Annette,0,NO LOGON,0,1,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(423) 555-0106,(423) 555-0100,annettet@humongousinsurance.com
33,Elias Myllari,Elias,0,NO LOGON,0,1,0,0,"{""theme"":""le-frog"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(209) 555-0101,(209) 555-0106,eliasm@litwareinc.com
34,Vilma Niva,Vilma,0,NO LOGON,0,1,0,0,"{""theme"":""black-tie"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(209) 555-0103,(209) 555-0106,vilman@litwareinc.com
35,Prem Prabhu,Prem,0,NO LOGON,0,1,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(423) 555-0102,(423) 555-0108,premp@lucernepublishing.com
36,Sunita Jadhav,Sunita,0,NO LOGON,0,1,0,0,"{""theme"":""blitzer"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(423) 555-0101,(423) 555-0108,sunitaj@lucernepublishing.com
37,Marcos Costa,Marcos,0,NO LOGON,0,1,0,0,"{""theme"":""humanity"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(252) 555-0106,(252) 555-0101,marcosc@nodpublishers.com
38,Matheus Oliveira,Matheus,1,matheuso@nodpublishers.com,0,1,0,0,"{""theme"":""dark-hive"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(252) 555-0107,(252) 555-0101,matheuso@nodpublishers.com
39,Eliza Soderberg,Eliza,1,elizas@northwindelectriccars.com,0,1,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(201) 555-0101,(201) 555-0106,elizas@northwindelectriccars.com
40,Sara Karlsson,Sara,0,NO LOGON,0,1,0,0,"{""theme"":""le-frog"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(201) 555-0100,(201) 555-0106,sarak@northwindelectriccars.com
41,Donald Jones,Donald,0,NO LOGON,0,1,0,0,"{""theme"":""black-tie"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(605) 555-0101,(605) 555-0101,donaldj@treyresearch.net
42,Sharon Graham,Sharon,0,NO LOGON,0,1,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(605) 555-0106,(605) 555-0101,sharong@treyresearch.net
43,Hai Dam,Hai,0,NO LOGON,0,1,0,0,"{""theme"":""blitzer"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(218) 555-0101,(218) 555-0108,haid@thephone-company.com
44,Thanh Dinh,Thanh,0,NO LOGON,0,1,0,0,"{""theme"":""humanity"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(218) 555-0104,(218) 555-0108,thanhd@thephone-company.com
45,Hubert Helms,Hubert,0,NO LOGON,0,1,0,0,"{""theme"":""dark-hive"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0103,(415) 555-0104,huberth@woodgrovebank.com
46,Donald Small,Donald,0,NO LOGON,0,1,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0105,(415) 555-0104,donalds@woodgrovebank.com
1001,Waldemar Fisar,Waldemar,1,waldemar@tailspintoys.com,0,0,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(308) 555-0100,(308) 555-0101,waldemar@tailspintoys.com
1002,Laimonis Berzins,Laimonis,0,NO LOGON,0,0,0,0,NULL,(308) 555-0100,(308) 555-0101,laimonis@tailspintoys.com
1003,Lorena Cindric,Lorena,0,NO LOGON,0,0,0,0,NULL,(406) 555-0100,(406) 555-0101,lorena@tailspintoys.com
1004,Hung Van Groesen,Hung,0,NO LOGON,0,0,0,0,NULL,(406) 555-0100,(406) 555-0101,hung@tailspintoys.com
1005,Bhaargav Rambhatla,Bhaargav,0,NO LOGON,0,0,0,0,NULL,(480) 555-0100,(480) 555-0101,bhaargav@tailspintoys.com
1006,Mudar Jevtic,Mudar,0,NO LOGON,0,0,0,0,NULL,(480) 555-0100,(480) 555-0101,mudar@tailspintoys.com
1007,Daniel Roman,Daniel,0,NO LOGON,0,0,0,0,NULL,(316) 555-0100,(316) 555-0101,daniel@tailspintoys.com
1008,Leyla Radnia,Leyla,0,NO LOGON,0,0,0,0,NULL,(316) 555-0100,(316) 555-0101,leyla@tailspintoys.com
1009,Johanna Huiting,Johanna,0,NO LOGON,0,0,0,0,NULL,(212) 555-0100,(212) 555-0101,johanna@tailspintoys.com
1010,Robert Ruutli,Robert,0,NO LOGON,0,0,0,0,NULL,(212) 555-0100,(212) 555-0101,robert@tailspintoys.com
1011,Biswajeet Thakur,Biswajeet,0,NO LOGON,0,0,0,0,NULL,(701) 555-0100,(701) 555-0101,biswajeet@tailspintoys.com
1012,Radha Shah,Radha,0,NO LOGON,0,0,0,0,NULL,(701) 555-0100,(701) 555-0101,radha@tailspintoys.com
1013,Kalidas Nadar,Kalidas,0,NO LOGON,0,0,0,0,NULL,(423) 555-0100,(423) 555-0101,kalidas@tailspintoys.com
1014,Filip Nedvidek,Filip,0,NO LOGON,0,0,0,0,NULL,(423) 555-0100,(423) 555-0101,filip@tailspintoys.com
1015,Kanti Kotadia,Kanti,0,NO LOGON,0,0,0,0,NULL,(303) 555-0100,(303) 555-0101,kanti@tailspintoys.com
1016,Hoa Cu,Hoa,0,NO LOGON,0,0,0,0,NULL,(303) 555-0100,(303) 555-0101,hoa@tailspintoys.com
1017,Sointu Aalto,Sointu,0,NO LOGON,0,0,0,0,NULL,(201) 555-0100,(201) 555-0101,sointu@tailspintoys.com
1018,Jae-Gon Min,Jae-Gon,0,NO LOGON,0,0,0,0,NULL,(201) 555-0100,(201) 555-0101,jae-gon@tailspintoys.com
1019,Siddhartha Parkar,Siddhartha,0,NO LOGON,0,0,0,0,NULL,(701) 555-0100,(701) 555-0101,siddhartha@tailspintoys.com
1020,Paula Matos,Paula,0,NO LOGON,0,0,0,0,NULL,(701) 555-0100,(701) 555-0101,paula@tailspintoys.com
1021,Elnaz Javan,Elnaz,0,NO LOGON,0,0,0,0,NULL,(215) 555-0100,(215) 555-0101,elnaz@tailspintoys.com
1022,Jayashish Ghatak,Jayashish,0,NO LOGON,0,0,0,0,NULL,(215) 555-0100,(215) 555-0101,jayashish@tailspintoys.com
1023,Heloisa Fernandes,Heloisa,0,NO LOGON,0,0,0,0,NULL,(218) 555-0100,(218) 555-0101,heloisa@tailspintoys.com
1024,Amornrat Rattanaporn,Amornrat,0,NO LOGON,0,0,0,0,NULL,(218) 555-0100,(218) 555-0101,amornrat@tailspintoys.com
1025,Razeena Hosseini,Razeena,0,NO LOGON,0,0,0,0,NULL,(217) 555-0100,(217) 555-0101,razeena@tailspintoys.com
1026,Leticia Ribeiro,Leticia,0,NO LOGON,0,0,0,0,NULL,(217) 555-0100,(217) 555-0101,leticia@tailspintoys.com
1027,Tereza Valentova,Tereza,0,NO LOGON,0,0,0,0,NULL,(240) 555-0100,(240) 555-0101,tereza@tailspintoys.com
1028,Brijesh Ganguly,Brijesh,0,NO LOGON,0,0,0,0,NULL,(240) 555-0100,(240) 555-0101,brijesh@tailspintoys.com
1029,Filips Jaunzems,Filips,0,NO LOGON,0,0,0,0,NULL,(210) 555-0100,(210) 555-0101,filips@tailspintoys.com
1030,Bharati Bhowmick,Bharati,0,NO LOGON,0,0,0,0,NULL,(210) 555-0100,(210) 555-0101,bharati@tailspintoys.com
1031,Nitin Matondkar,Nitin,0,NO LOGON,0,0,0,0,NULL,(314) 555-0100,(314) 555-0101,nitin@tailspintoys.com
1032,Joy Dutta,Joy,0,NO LOGON,0,0,0,0,NULL,(314) 555-0100,(314) 555-0101,joy@tailspintoys.com
1033,Adam Kubat,Adam,0,NO LOGON,0,0,0,0,NULL,(216) 555-0100,(216) 555-0101,adam@tailspintoys.com
1034,Gulzar Naidu,Gulzar,0,NO LOGON,0,0,0,0,NULL,(216) 555-0100,(216) 555-0101,gulzar@tailspintoys.com
1035,Isabelle Vodlan,Isabelle,0,NO LOGON,0,0,0,0,NULL,(603) 555-0100,(603) 555-0101,isabelle@tailspintoys.com
1036,Prakash Sarma,Prakash,0,NO LOGON,0,0,0,0,NULL,(603) 555-0100,(603) 555-0101,prakash@tailspintoys.com
1037,Mithun Bhattacharya,Mithun,0,NO LOGON,0,0,0,0,NULL,(907) 555-0100,(907) 555-0101,mithun@tailspintoys.com
1038,Sandhya Raju,Sandhya,0,NO LOGON,0,0,0,0,NULL,(907) 555-0100,(907) 555-0101,sandhya@tailspintoys.com
1039,Nghi Hua,Nghi,0,NO LOGON,0,0,0,0,NULL,(206) 555-0100,(206) 555-0101,nghi@tailspintoys.com
1040,Ravindra Parkar,Ravindra,0,NO LOGON,0,0,0,0,NULL,(206) 555-0100,(206) 555-0101,ravindra@tailspintoys.com
1041,Duleep Raju,Duleep,0,NO LOGON,0,0,0,0,NULL,(215) 555-0100,(215) 555-0101,duleep@tailspintoys.com
1042,Vlatka Duvnjak,Vlatka,0,NO LOGON,0,0,0,0,NULL,(215) 555-0100,(215) 555-0101,vlatka@tailspintoys.com
1043,Cristina Longo,Cristina,0,NO LOGON,0,0,0,0,NULL,(239) 555-0100,(239) 555-0101,cristina@tailspintoys.com
1044,Antonio Lucchese,Antonio,0,NO LOGON,0,0,0,0,NULL,(239) 555-0100,(239) 555-0101,antonio@tailspintoys.com
1045,Hang Tang,Hang,0,NO LOGON,0,0,0,0,NULL,(907) 555-0100,(907) 555-0101,hang@tailspintoys.com
1046,Hong Ang,Hong,0,NO LOGON,0,0,0,0,NULL,(907) 555-0100,(907) 555-0101,hong@tailspintoys.com
1047,Intira Mookjai,Intira,0,NO LOGON,0,0,0,0,NULL,(252) 555-0100,(252) 555-0101,intira@tailspintoys.com
1048,Young-Tae Kim,Young-Tae,1,young-tae@tailspintoys.com,0,0,0,0,"{""theme"":""le-frog"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(252) 555-0100,(252) 555-0101,young-tae@tailspintoys.com
1049,Sulabha Khalsa,Sulabha,0,NO LOGON,0,0,0,0,NULL,(209) 555-0100,(209) 555-0101,sulabha@tailspintoys.com
1050,Alessandro Milano,Alessandro,0,NO LOGON,0,0,0,0,NULL,(209) 555-0100,(209) 555-0101,alessandro@tailspintoys.com
1051,Dhanishta Majji,Dhanishta,0,NO LOGON,0,0,0,0,NULL,(319) 555-0100,(319) 555-0101,dhanishta@tailspintoys.com
1052,Nils Podnieks,Nils,0,NO LOGON,0,0,0,0,NULL,(319) 555-0100,(319) 555-0101,nils@tailspintoys.com
1053,Paula Gonzales,Paula,0,NO LOGON,0,0,0,0,NULL,(218) 555-0100,(218) 555-0101,paula@tailspintoys.com
1054,Chetana Dewangan,Chetana,0,NO LOGON,0,0,0,0,NULL,(218) 555-0100,(218) 555-0101,chetana@tailspintoys.com
1055,Tatjana Utjesenovic,Tatjana,0,NO LOGON,0,0,0,0,NULL,(212) 555-0100,(212) 555-0101,tatjana@tailspintoys.com
1056,Theresa Boose,Theresa,0,NO LOGON,0,0,0,0,NULL,(212) 555-0100,(212) 555-0101,theresa@tailspintoys.com
1057,Karel Hanak,Karel,1,karel@tailspintoys.com,0,0,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(205) 555-0100,(205) 555-0101,karel@tailspintoys.com
1058,Fernanda Fierro,Fernanda,0,NO LOGON,0,0,0,0,NULL,(205) 555-0100,(205) 555-0101,fernanda@tailspintoys.com
1059,Odessa Schneider,Odessa,0,NO LOGON,0,0,0,0,NULL,(206) 555-0100,(206) 555-0101,odessa@tailspintoys.com
1060,Konrads Sprogis,Konrads,0,NO LOGON,0,0,0,0,NULL,(206) 555-0100,(206) 555-0101,konrads@tailspintoys.com
1061,Kimberly Pace,Kimberly,0,NO LOGON,0,0,0,0,NULL,(206) 555-0100,(206) 555-0101,kimberly@tailspintoys.com
1062,Shobha Gupta,Shobha,0,NO LOGON,0,0,0,0,NULL,(206) 555-0100,(206) 555-0101,shobha@tailspintoys.com
1063,Nikolajs Kalejs,Nikolajs,0,NO LOGON,0,0,0,0,NULL,(210) 555-0100,(210) 555-0101,nikolajs@tailspintoys.com
1064,Philippe Lamy,Philippe,0,NO LOGON,0,0,0,0,NULL,(210) 555-0100,(210) 555-0101,philippe@tailspintoys.com
1065,Haasini Rai,Haasini,0,NO LOGON,0,0,0,0,NULL,(803) 555-0100,(803) 555-0101,haasini@tailspintoys.com
1066,Viktorie Melicharova,Viktorie,0,NO LOGON,0,0,0,0,NULL,(803) 555-0100,(803) 555-0101,viktorie@tailspintoys.com
1067,Anjali Asthana,Anjali,0,NO LOGON,0,0,0,0,NULL,(210) 555-0100,(210) 555-0101,anjali@tailspintoys.com
1068,Hanuman Negi,Hanuman,0,NO LOGON,0,0,0,0,NULL,(210) 555-0100,(210) 555-0101,hanuman@tailspintoys.com
1069,Shah Omidi,Shah,0,NO LOGON,0,0,0,0,NULL,(304) 555-0100,(304) 555-0101,shah@tailspintoys.com
1070,Chandra Mittal,Chandra,0,NO LOGON,0,0,0,0,NULL,(304) 555-0100,(304) 555-0101,chandra@tailspintoys.com
1071,Ferhat Celik,Ferhat,0,NO LOGON,0,0,0,0,NULL,(270) 555-0100,(270) 555-0101,ferhat@tailspintoys.com
1072,Leyla Celik,Leyla,0,NO LOGON,0,0,0,0,NULL,(270) 555-0100,(270) 555-0101,leyla@tailspintoys.com
1073,Dayarama Kamei,Dayarama,0,NO LOGON,0,0,0,0,NULL,(458) 555-0100,(458) 555-0101,dayarama@tailspintoys.com
1074,Elisabeth Flamand,Elisabeth,0,NO LOGON,0,0,0,0,NULL,(458) 555-0100,(458) 555-0101,elisabeth@tailspintoys.com
1075,Nils Kalnins,Nils,0,NO LOGON,0,0,0,0,NULL,(314) 555-0100,(314) 555-0101,nils@tailspintoys.com
1076,Rajiv Kotadia,Rajiv,0,NO LOGON,0,0,0,0,NULL,(314) 555-0100,(314) 555-0101,rajiv@tailspintoys.com
1077,Ashish Acharya,Ashish,1,ashish@tailspintoys.com,0,0,0,0,"{""theme"":""black-tie"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(270) 555-0100,(270) 555-0101,ashish@tailspintoys.com
1078,Filip Sedlar,Filip,0,NO LOGON,0,0,0,0,NULL,(270) 555-0100,(270) 555-0101,filip@tailspintoys.com
1079,Alena Prikrylova,Alena,0,NO LOGON,0,0,0,0,NULL,(210) 555-0100,(210) 555-0101,alena@tailspintoys.com
1080,Catina Bojin,Catina,0,NO LOGON,0,0,0,0,NULL,(210) 555-0100,(210) 555-0101,catina@tailspintoys.com
1081,Lana Rozej,Lana,0,NO LOGON,0,0,0,0,NULL,(314) 555-0100,(314) 555-0101,lana@tailspintoys.com
1082,Kalpana Mukherjee,Kalpana,1,kalpana@tailspintoys.com,0,0,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(314) 555-0100,(314) 555-0101,kalpana@tailspintoys.com
1083,Chandrakanta Raut,Chandrakanta,0,NO LOGON,0,0,0,0,NULL,(212) 555-0100,(212) 555-0101,chandrakanta@tailspintoys.com
1084,Ivan Castellanos,Ivan,1,ivan@tailspintoys.com,0,0,0,0,"{""theme"":""black-tie"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(212) 555-0100,(212) 555-0101,ivan@tailspintoys.com
1085,Ganapati Gadiyaram,Ganapati,0,NO LOGON,0,0,0,0,NULL,(206) 555-0100,(206) 555-0101,ganapati@tailspintoys.com
